title,covered_by,chapter,status
5G core engineer,Telecom network and OSS/BSS systems,25,profiled
5G RAN engineer,Telecom network and OSS/BSS systems,25,stable
a11y engineer,not profiled,29,growing
ABAP developer,"SAP S/4HANA (ABAP, Basis, functional)",25,profiled
academic career,The academic path: doctorate to tenure-track faculty,27,profiled
Accessibility specialist,not profiled,29,growing
ADAS software engineer,Automotive functional safety and embedded platforms,25,profiled
agile coach,not profiled,24,stable
Agricultural technology,Agricultural technology,26,profiled
agritech engineer,Agricultural technology,26,profiled
AI agent engineer,not profiled,29,growing
AI assurance specialist,not profiled,29,growing
AI compliance analyst,not profiled,29,growing
AI engineer,Machine learning engineer,23,growing
AI governance specialist,not profiled,29,growing
AI infrastructure engineer,not profiled,26,growing
AI product manager,not profiled,29,growing
AI red-teamer,not profiled,29,growing
AI research scientist,Industrial research scientist,27,profiled
AI safety researcher,not profiled,29,growing
AI training data specialist,not profiled,29,absorbed
alignment researcher,not profiled,29,growing
all-source analyst,not profiled,25,growing
Analog and mixed-signal design engineer,not profiled,29,growing
analyst programmer,Backend engineer,23,contracting
Analytics engineer,Data engineer,23,growing
Android engineer,Backend engineer,23,stable
application security,"Security specialisations (appsec, SOC, incident response, GRC)",25,profiled
Application security engineer,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
applications developer,Backend engineer,23,stable
applied AI engineer,Machine learning engineer,23,growing
applied scientist,Industrial research scientist,27,profiled
applied statistician,not profiled,27,stable
appsec engineer,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
assistant professor,The academic path: doctorate to tenure-track faculty,27,profiled
Automotive functional safety and embedded platforms,Automotive functional safety and embedded platforms,25,profiled
Autonomous vehicle engineer,Robotics and automation software,26,growing
AUTOSAR developer,Automotive functional safety and embedded platforms,25,profiled
AV perception engineer,Robotics and automation software,26,growing
avionics software engineer,Defence and aerospace software,25,profiled
backend chip design engineer,not profiled,29,growing
Backend engineer,Backend engineer,23,profiled
BI developer,Entry-level data analyst,24,contracting
Bioinformatics and computational biology,Bioinformatics and computational biology,26,profiled
bioinformatics scientist,Bioinformatics and computational biology,26,profiled
Blockchain developer,not profiled,29,stable
blue team analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
bootstrapped software,Small software products,28,profiled
brain-computer interface engineer,not profiled,26,stable
BSS developer,Telecom network and OSS/BSS systems,25,profiled
Bug bounty hunter,not profiled,28,stable
business analyst,not profiled,24,stable
Business intelligence developer,Entry-level data analyst,24,contracting
carbon accounting engineer,Climate and energy systems software,26,growing
CBTC engineer,Industrial automation and OT security,25,stable
cheminformatics scientist,Computational chemistry and cheminformatics,26,profiled
Chief information security officer,not profiled,25,stable
chip design engineer,not profiled,29,growing
CISO,not profiled,25,stable
citizen developer,not profiled,29,growing
civil service developer,Government and public sector IT,25,profiled
cleared software engineer,Defence and aerospace software,25,profiled
Climate and energy systems software,Climate and energy systems software,26,profiled
Climate modeller,Climate and energy systems software,26,growing
climate tech engineer,Climate and energy systems software,26,profiled
Climate technology engineer,Climate and energy systems software,26,growing
Clinical informatics specialist,Epic healthcare IT analyst,25,growing
clinical systems analyst,Epic healthcare IT analyst,25,profiled
clinical systems analyst (Cerner),Epic healthcare IT analyst,25,stable
cloud architect,not profiled,30,growing
Cloud engineer,not profiled,30,growing
cloud financial analyst,not profiled,29,growing
cloud operations engineer,not profiled,30,growing
Cloud security engineer,not profiled,25,growing
Cloud solutions architect,not profiled,30,growing
cloud systems administrator,not profiled,30,growing
CMS developer,not profiled,24,contracting
COBOL programmer,Mainframe / COBOL developer,25,profiled
compiler engineer,not profiled,23,stable
compliance analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
computational biologist,Bioinformatics and computational biology,26,profiled
computational chemist,Computational chemistry and cheminformatics,26,profiled
Computational chemistry and cheminformatics,Computational chemistry and cheminformatics,26,profiled
computational linguist,Machine learning engineer,23,absorbed
computational materials scientist,Computational chemistry and cheminformatics,26,growing
Computational neuroscientist,not profiled,26,stable
Computational physicist,Research computing and high-performance computing,26,stable
Computer and information research scientist,Industrial research scientist,27,growing
Computer and information systems manager,not profiled,28,stable
Computer network architect,not profiled,25,stable
Computer network support specialist,not profiled,24,stable
Computer programmer,Backend engineer,23,contracting
Computer system validation specialist,Medical device software,25,stable
Computer systems analyst,not profiled,24,stable
Computer user support specialist,IT support / helpdesk,24,contracting
Computer vision engineer,Robotics and automation software,26,stable
context engineer,not profiled,29,growing
contractor,Independent specialist consultant,28,profiled
controls engineer,Industrial automation and OT security,25,profiled
Core banking and payments engineering,Core banking and payments engineering,25,profiled
core banking developer,Core banking and payments engineering,25,profiled
course creator,Technical education and content,28,profiled
cryptographic modernisation engineer,not profiled,29,growing
CSV engineer,Medical device software,25,stable
CUDA engineer,not profiled,26,growing
Customer success engineer,not profiled,24,stable
cyber crime investigator,not profiled,25,stable
Cyber defence analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
Cyber defence incident responder,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
data architect,not profiled,25,growing
data center technician,not profiled,29,growing
Data centre technician,not profiled,29,growing
Data engineer,Data engineer,23,profiled
Data governance specialist,not profiled,25,growing
data labeller,not profiled,29,absorbed
data protection engineer,not profiled,25,growing
Data scientist,not profiled,23,stable
data steward,not profiled,25,growing
Database administrator,not profiled,25,stable
Database architect,not profiled,25,growing
database internals engineer,not profiled,23,stable
DBA,not profiled,25,stable
decision scientist,not profiled,26,growing
Defence and aerospace software,Defence and aerospace software,25,profiled
delivery manager,not profiled,24,stable
deployment engineer,not profiled,29,growing
Design verification engineer,not profiled,29,growing
desktop support technician,IT support / helpdesk,24,contracting
Detection engineer,not profiled,25,growing
Developer advocate,Technical education and content,28,stable
developer educator,Technical education and content,28,profiled
developer relations engineer,Technical education and content,28,stable
DevOps / site reliability engineer,DevOps / site reliability engineer,23,profiled
DevRel,Technical education and content,28,stable
DFIR analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
digital accessibility engineer,not profiled,29,growing
digital evidence analyst,not profiled,25,stable
Digital forensics analyst,not profiled,25,stable
Digital twin engineer,Industrial automation and OT security,25,growing
distributed systems engineer,not profiled,23,stable
DO-178C developer,Defence and aerospace software,25,profiled
doctoral position,The funded doctorate as a route abroad,27,profiled
documentation engineer,Technical education and content,28,stable
domain expert annotator,not profiled,29,absorbed
Drone engineer,not profiled,29,growing
Duck Creek configurer,Insurance core systems (Guidewire and Duck Creek),25,profiled
DV engineer,not profiled,29,growing
Dynamics 365 developer,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
e-commerce developer,not profiled,24,contracting
e-discovery specialist,Legal technology,26,profiled
earth system modeller,Climate and energy systems software,26,growing
EDA software engineer,not profiled,29,growing
electronic design automation engineer,not profiled,29,growing
Embedded software engineer,not profiled,25,stable
energy modelling engineer,Climate and energy systems software,26,profiled
engine programmer,not profiled,29,contracting
engineering manager,not profiled,28,stable
Enterprise architect,not profiled,25,growing
Entry-level data analyst,Entry-level data analyst,24,profiled
Epic analyst,Epic healthcare IT analyst,25,profiled
Epic application analyst,Epic healthcare IT analyst,25,profiled
Epic healthcare IT analyst,Epic healthcare IT analyst,25,profiled
equipment engineer,not profiled,29,growing
ERP functional consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
ethical hacker,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
evaluations engineer,not profiled,29,growing
Expert data annotator,not profiled,29,absorbed
exploitation analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
fab process engineer,not profiled,29,growing
farm data engineer,Agricultural technology,26,profiled
FDE,not profiled,29,growing
FinOps engineer,not profiled,29,growing
FinOps practitioner,not profiled,29,growing
Fintech engineer,Core banking and payments engineering,25,growing
firmware engineer,not profiled,25,stable
flight software engineer (space),Defence and aerospace software,25,growing
Forward-deployed engineer,not profiled,29,growing
FPGA engineer,not profiled,25,stable
fractional CTO,Fractional technical leadership,28,profiled
Fractional technical leadership,Fractional technical leadership,28,profiled
freelance developer,Independent specialist consultant,28,profiled
front-end developer,Generalist frontend / web development,24,contracting
full-stack developer,Generalist frontend / web development,24,contracting
funded PhD,The funded doctorate as a route abroad,27,profiled
Game developer,not profiled,29,contracting
gameplay programmer,not profiled,29,contracting
Generalist frontend / web development,Generalist frontend / web development,24,profiled
generative AI engineer,Machine learning engineer,23,growing
genomics data scientist,Bioinformatics and computational biology,26,profiled
geospatial data engineer,Geospatial engineering and earth observation,26,profiled
Geospatial engineering and earth observation,Geospatial engineering and earth observation,26,profiled
GIS developer,Geospatial engineering and earth observation,26,profiled
global remote,Global-remote contracting from a talent-exporting region,28,profiled
Global-remote contracting from a talent-exporting region,Global-remote contracting from a talent-exporting region,28,profiled
governance risk compliance,"Security specialisations (appsec, SOC, incident response, GRC)",25,profiled
"Governance, risk and compliance analyst","Security specialisations (appsec, SOC, incident response, GRC)",25,growing
Government and public sector IT,Government and public sector IT,25,profiled
government scientist,National laboratory and public institute researcher,27,profiled
govtech engineer,Government and public sector IT,25,profiled
GPU kernel engineer,not profiled,26,growing
graphics programmer,not profiled,29,contracting
GRC analyst,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
grid software engineer,Climate and energy systems software,26,profiled
Guidewire developer,Insurance core systems (Guidewire and Duck Creek),25,profiled
GxP validation,Medical device software,25,stable
hardware layout engineer,not profiled,25,stable
Hardware test engineer,not profiled,25,stable
head of engineering,not profiled,28,stable
head of security,not profiled,25,stable
health informatics analyst,Epic healthcare IT analyst,25,growing
Healthcare IT analyst (Cerner),Epic healthcare IT analyst,25,stable
HPC engineer,Research computing and high-performance computing,26,profiled
IAM engineer,not profiled,25,growing
ICS security engineer,Industrial automation and OT security,25,profiled
Identity and access management engineer,not profiled,25,growing
IEC 62304 engineer,Medical device software,25,profiled
imaging machine learning engineer,Medical device software,26,growing
Implementation consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
incident responder,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
incident response,"Security specialisations (appsec, SOC, incident response, GRC)",25,profiled
independent consultant,Independent specialist consultant,28,profiled
Independent specialist consultant,Independent specialist consultant,28,profiled
indie product,Small software products,28,profiled
Industrial automation and OT security,Industrial automation and OT security,25,profiled
Industrial research scientist,Industrial research scientist,27,profiled
industry transition,Leaving research: the doctorate in an ordinary job,27,profiled
inference engineer,not profiled,26,growing
infrastructure engineer,not profiled,23,stable
instructor,Teaching-focused faculty,27,profiled
Insurance core systems (Guidewire and Duck Creek),Insurance core systems (Guidewire and Duck Creek),25,profiled
interim engineering leader,Fractional technical leadership,28,profiled
internal developer platform engineer,DevOps / site reliability engineer,23,growing
international freelancing,Global-remote contracting from a talent-exporting region,28,profiled
internationalisation engineer,not profiled,28,stable
iOS engineer,Backend engineer,23,stable
ISO 26262 engineer,Automotive functional safety and embedded platforms,25,profiled
IT auditor,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
IT manager,not profiled,28,stable
IT project manager,not profiled,24,stable
IT support / helpdesk,IT support / helpdesk,24,profiled
Junior UX / UX research,Junior UX / UX research,24,profiled
kernel developer,not profiled,23,stable
Kubernetes engineer,DevOps / site reliability engineer,23,growing
Leaving research: the doctorate in an ordinary job,Leaving research: the doctorate in an ordinary job,27,profiled
lecturer,Teaching-focused faculty,27,profiled
legal engineer,Legal technology,26,profiled
legal operations technologist,Legal technology,26,profiled
Legal technology,Legal technology,26,profiled
LLMOps engineer,not profiled,29,growing
Localisation engineer,not profiled,28,stable
localization engineer,not profiled,28,stable
Low-code developer,not profiled,29,growing
Machine learning engineer,Machine learning engineer,23,profiled
Mainframe / COBOL developer,Mainframe / COBOL developer,25,profiled
mainframe developer,Mainframe / COBOL developer,25,profiled
maintainer,Open source maintainer,28,profiled
Malware analyst,not profiled,25,stable
Manual QA / software tester,Manual QA / software tester,24,profiled
master data management specialist,not profiled,25,growing
Materials informatics scientist,Computational chemistry and cheminformatics,26,growing
Medical device software,Medical device software,25,profiled
Medical imaging AI engineer,Medical device software,26,growing
micro SaaS,Small software products,28,profiled
Microsoft Dynamics consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
MLOps engineer,Machine learning engineer,23,growing
Mobile developer,Backend engineer,23,stable
molecular modelling scientist,Computational chemistry and cheminformatics,26,profiled
monitoring engineer,DevOps / site reliability engineer,23,growing
national lab staff scientist,National laboratory and public institute researcher,27,profiled
National laboratory and public institute researcher,National laboratory and public institute researcher,27,profiled
Natural language processing engineer,Machine learning engineer,23,absorbed
Network and computer systems administrator,not profiled,30,contracting
network architect,not profiled,25,stable
network engineer,not profiled,25,stable
network operations technician,not profiled,24,stable
neural engineer,not profiled,26,stable
NLP engineer,Machine learning engineer,23,absorbed
no-code specialist,not profiled,29,growing
NOC technician,not profiled,24,stable
numerical simulation scientist,Research computing and high-performance computing,26,stable
numerical weather prediction scientist,Climate and energy systems software,26,growing
nursing informatics specialist,Epic healthcare IT analyst,25,growing
