id,title,publisher,date,retrieved,reliability,url,doi,no_url,key_figure,caveat,method,note,used_in
cra-faculty-searches-2026,What Advertised Faculty Searches Reveal About Computer Science Hiring in 2026,"Computing Research Association, CRN",2026-01,,2,https://cra.org/crn/2026/01/what-advertised-faculty-searches-reveal-about-computer-science-hiring-in-2026/,,,"311 institutions advertising 588 tenure-track positions, August to mid-November 2025. Against 2024 that is 25% fewer institutions searching and 33% fewer positions sought. Excluding the 2021 pandemic season, the lowest since 2016. AI, data mining and machine learning took 29% of positions, the highest in any year of the study, and security 21%. Regional falls against 2024: Pacific West 65%, Plains 60%, West and Northeast about 50%, South 22%, Southwest and Rocky Mountain 15-20%.","The study's own stated limit, and it matters: this counts advertised SEARCHES, not hires, and not every search appears in the venues studied. A search can be cancelled or fail. Read it as demand advertised, not jobs filled. Same method since 2015, which is what makes the trend usable.",,,ch27
cra-taulbee-2026,"CRA Taulbee Survey, 55th edition",Computing Research Association,2026-06,2026-08-12,2,https://cra.org/resources/taulbee-survey/,,,"Record doctoral production, at 1,909 United States computing doctorates. Industry took 61% of new US-awarded PhDs with known employment in the longitudinal cohort in 2025. New computing doctoral enrolments fell 15% across that cohort. International PhD applications grew from 15,469 in 2022 to 29,071 in 2025. Faculty salaries, all United States units, nine-month medians effective 10 July 2025: assistant professor 131,032; associate professor 149,014; full professor 203,943; teaching professor 114,344; other instructor 92,050; researcher 126,250; postdoctorate 66,504. Public computer science units: assistant 129,374, associate 144,765, full 201,235, teaching 108,176, other instructor 87,474. Private computer science units: assistant 146,583, associate 166,415, full 229,827, teaching 135,109, other instructor 125,034. Canadian units are twelve-month in Canadian dollars and are not comparable.","Covers PhD-granting departments in the United States and Canada only. ""Known employment"" excludes graduates who did not report, which is a real hole in any destination figure.","Voluntary annual survey of PhD-granting computing departments in the United States and Canada. 134 units participated in the 2025 salary round, submitting individual or aggregate department data. Reporting thresholds suppress cells below four units. US salaries are nine-month; Canadian are twelve-month in CAD and are not comparable.",,ch27
ukri-stipend-2026,UKRI minimum doctoral stipend,UK Research and Innovation,2026,2026-08-10,1,https://www.ukri.org/news/ukri-is-increasing-phd-stipends-and-improving-student-support/,,,"£20,780 per year for 2025/26, tax free, typically over three to four years. Announced 5 February 2026 to rise to £21,805 from 1 October 2026.","A published minimum. Some institutions and subjects pay above it, especially in London.",,,ch27
tvl-e13-2026,German public sector research pay scale TV-L E13,German federal state collective agreement,2026,2026-08-12,1,,,"A collective agreement between employers and unions, not a web publication. The pay table is reproduced by many public-sector sites and none of them is the issuing body.","Full-time entry gross pay €4,759.37 per month from 1 April 2026. Computing and engineering doctoral positions are commonly contracted at 65% or more of full time, and are employment rather than a stipend.","Gross, before German tax and social contributions, which are substantial. The percentage of a full contract varies by institution and by grant.",,,ch27
phd-stipends-intl-2026,"Doctoral stipends and postdoctoral pay, several countries",Study-abroad and academic career compilations,2026,,4,,,,"United States: top-50 computer science doctorates described as fully funded, tuition waived, stipend roughly $30,000-$45,000. Germany doctoral stipends quoted at €1,200-€2,800 per month. Postdoctoral pay quoted at €50,000-€75,000 in Germany, £34,000-£45,000 in the United Kingdom, and about $55,600 in the United States.","Compilation sites aimed at prospective international students, several of which sell services to them. The UK and German public figures above are the sources to trust; these are context.",,,ch27
ai-brain-drain-2026,Movement of AI researchers from universities to industry,Academic research reported through 2025 and 2026,2026,,2,,,Several academic papers and press reports read together. No single document carries the claim.,"Young, highly cited researchers about five years into their careers were reported as roughly 100 times more likely to move to industry the following year than ten-year veterans with average citation counts. Transitions to industry are associated with lower subsequent novelty and citation impact.","A relative risk with a very small base, so 100 times more likely does not mean common. Chapter 6's warning about relative figures applies directly.",,,ch27
ai-research-pay-2026,AI research scientist pay in industrial laboratories,Staffing and careers compilations,2026,,4,,,,"$160,000-$250,000 base at most companies, with frontier laboratory total packages quoted past $600,000 and starting offers above $300,000 at the top few.","Recruiter content describing the most visible employers during a hiring race. The very high figures apply to a few hundred people worldwide, not to research scientists generally.",,,ch27
cert-ten-year-costs-2026,"Certification exam prices and renewal terms, eighteen issuers",Issuers' own price and recertification pages,2026-08-07,2026-08-07,1,https://www.isc2.org/policies-procedures/amfs-overview,,,"Ten-year cost to hold one certificate, United States list prices. Microsoft role-based $165, renewed free each year online. Salesforce Administrator $200, free maintenance module. Scrum.org PSM I $200, lifetime. IIBA ECBA $250, lifetime. DAMA CDMP Associate $311. AWS Cloud Practitioner $400, being $100 plus three re-sits. Google Cloud Professional $600, being $200 plus four half-price renewals on a two-year cycle. PMI PMP for members $605, being $425 plus $60 every three years. CompTIA Security+ $889, being a $439 exam plus about $150 of continuing education every three years; the exam rose from $425 to $439 on 1 June 2026. ISACA CISM for members $1,075. Cisco CCNA $1,200 by re-sitting, or $300 using free continuing-education credits. IAPP CIPP $1,550, being $550 plus a $250 maintenance fee every two years. OffSec OSCP $1,749, lifetime. GIAC taken standalone about $1,977, being roughly $979 plus a $499 renewal then $249. EC-Council CEH $1,999, being $1,199 plus $80 a year. Red Hat RHCSA $2,000, being $500 plus three re-sits. ISC2 CISSP $2,099, being $749 plus an annual maintenance fee of $135. CNCF CKA $2,225, being $445 every two years.","List prices in US dollars before tax, excluding training, travel and membership dues unless stated. Each total assumes one certificate held continuously with no stacking, and stacking materially changes several: a higher Cisco or CompTIA certificate renews the ones below it. Prices move, and at least one moved during this research. The three renewal mechanisms — an annual fee, a forced re-sit, or nothing — are the durable finding and they set the order.","Each issuer's own published exam price and recertification policy, read directly. Third-party training providers and best-certificate listicles were excluded by rule and are not used anywhere in this record. Ten-year totals are computed from the issuer's stated exam fee and its stated renewal terms, assuming one certificate held continuously with no stacking.",,ch31
cert-employer-gated-platforms,"Certification restricted to employees of customers and partners, four enterprise platforms","Duck Creek, Workday, Guidewire and Epic Systems",2026-08-07,2026-08-07,1,,,"Read from each vendor's certification pages during pass 13. Three publish terms without a stable public URL for the quoted sentence; the fourth publishes nothing, which is the record's point.","Duck Creek states that its University certification programmes ""provide formal recognition for employees of our partners and clients"", and that any individual ""employed by a Duck Creek client or partner"" is invited to attend its boot camps and take an assessment. Workday states that ""Workday Pro certifications are only available to Workday customers and Workday partners"", with exams costing one training credit per attempt rather than a published money price. Guidewire states that ""certification is required for all professionals working on Guidewire Cloud implementations"", delivered through its education portal with enrolment via a designated Training Coordinator, which ties access to a customer or partner project. Epic publishes no public certification terms, no price and no route for an individual; certification requires sponsorship by an Epic customer or partner, or employment at Epic. None of the four publishes an exam price.","Vendor policy can change, and one is already moving at the edges: a university partner has opened some Workday Pro training to the public while Workday's own registration route stays customer-gated. If any of the four opens an individual credit-card purchase path, it stops being a gate and Chapter 31 must reclassify it. Epic's rule is corroborated from healthcare-IT industry sources because Epic publishes nothing, so it is the one of the four not read from the vendor's own words.","Each vendor's own published certification terms, quoted verbatim. Epic is the exception and its exception is the finding: it publishes no public certification terms at all.",,ch31
cert-no-individual-credential,Safety-critical domains where no individual certification exists,"TUV SUD, RTCA and TUV Rheinland",2026-08-07,2026-08-07,1,,,Read from the certifying bodies' programme pages during pass 13. The quoted experience-deferral wording is from the functional-safety programme's own FAQ.,"For medical device software under IEC 62304, certification is issued to organisations rather than individuals: the certifying body states that clients seeking it must already hold a valid ISO 13485 certificate for medical devices. Individuals may take training and receive no personal credential. For avionics software under DO-178C the standards body offers a one-day training course only, and compliance is assessed at project and organisation level by the aviation regulator; no individual credential exists. For functional safety, an individual may sit the training and the exam, but the certifying body states that where the candidate lacks the business experience, the FS Engineer certificate ""will be issued to them as soon as the necessary 3 years of business experience in the area of functional safety are achieved""; the expert grade requires ten years. The standards themselves are also priced: IEC 61508 in full is CHF 4,386 and the twelve-part ISO 26262 package CHF 1,837.","Describes the certification route, not the labour market. It does not follow that these fields are closed to entrants, only that the credential cannot be acquired ahead of the job. Other certifying bodies operate comparable schemes on their own terms and this record covers the ones read.",The certifying bodies' own published programme terms.,,ch31
